ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60603,13,03/22/2020,03/28/2020,,,,,3,4,256,340.7,0.0,0.0,0,0,0.0,0.0,1174,60603-2020-13,POINT (-87.625473 41.880112)
60613,16,04/12/2020,04/18/2020,36,184,72,367.2,164,632,327,1261.1,0.2,0.2,3,8,6.0,16.0,50113,60613-2020-16,POINT (-87.661343 41.953742)
60659,45,11/01/2020,11/07/2020,153,1645,373,4005.6,1220,17033,2971,41475.1,0.1,0.1,0,49,0.0,119.3,41068,60659-2020-45,POINT (-87.703266 41.990803)
60626,39,09/20/2020,09/26/2020,26,1459,52,2933.8,1575,28048,3167,56400.6,0.0,0.1,1,120,2.0,241.3,49730,60626-2020-39,POINT (-87.669834 42.009469)
60601,3,01/17/2021,01/23/2021,19,868,130,5914.8,525,17117,3578,116640.5,0.0,0.1,0,11,0.0,75.0,14675,60601-2021-3,POINT (-87.622844 41.886262)
60631,33,08/09/2020,08/15/2020,27,515,91,1744,685,9010,2320,30512.4,0.1,0.1,0,42,0.0,142.2,29529,60631-2020-33,POINT (-87.813371 41.995019)
60629,30,07/19/2020,07/25/2020,99,3870,88,3460,1410,19549,1261,17477.9,0.1,0.2,2,102,1.8,91.2,111850,60629-2020-30,POINT (-87.711565 41.777061)
60666,51,12/13/2020,12/19/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2020-51,POINT (-87.896371 41.979511)
60634,11,03/14/2021,03/20/2021,116,9520,153,12527.1,2076,88995,2732,117106.4,0.1,0.1,2,147,2.6,193.4,75995,60634-2021-11,POINT (-87.797373 41.944967)
60655,35,08/23/2020,08/29/2020,51,579,177,2010.1,781,8777,2711,30471.5,0.1,0.1,0,13,0.0,45.1,28804,60655-2020-35,POINT (-87.701434 41.696456)
60659,28,07/05/2020,07/11/2020,19,840,46,2045.4,511,5809,1244,14144.8,0.0,0.1,0,41,0.0,99.8,41068,60659-2020-28,POINT (-87.703266 41.990803)
60615,3,01/17/2021,01/23/2021,37,1838,89,4422.2,2256,50440,5428,121357.9,0.0,0.0,0,31,0.0,74.6,41563,60615-2021-3,POINT (-87.602725 41.801993)
60601,23,05/31/2020,06/06/2020,1,71,7,483.8,75,676,511,4606.5,0.0,0.1,1,5,6.8,34.1,14675,60601-2020-23,POINT (-87.622844 41.886262)
60643,38,09/13/2020,09/19/2020,33,1199,66,2404.3,1232,20540,2470,41187.1,0.0,0.1,1,75,2.0,150.4,49870,60643-2020-38,POINT (-87.662381 41.700445)
60634,22,05/24/2020,05/30/2020,85,1359,112,1788.3,1136,7770,1495,10224.4,0.1,0.2,3,39,3.9,51.3,75995,60634-2020-22,POINT (-87.797373 41.944967)
60631,37,09/06/2020,09/12/2020,18,603,61,2042.1,462,11315,1565,38318.3,0.0,0.1,0,43,0.0,145.6,29529,60631-2020-37,POINT (-87.813371 41.995019)
60630,39,09/20/2020,09/26/2020,39,1327,68,2314.1,922,18110,1608,31581.3,0.0,0.1,0,66,0.0,115.1,57344,60630-2020-39,POINT (-87.759611 41.971261)
60654,26,06/21/2020,06/27/2020,13,168,68,878,311,1855,1625,9694.3,0.0,0.1,0,1,0.0,5.2,19135,60654-2020-26,POINT (-87.636354 41.892485)
60646,41,10/04/2020,10/10/2020,26,642,93,2293.9,653,11266,2333,40254.4,0.0,0.1,0,44,0.0,157.2,27987,60646-2020-41,POINT (-87.761826 41.993931)
60640,7,02/14/2021,02/20/2021,38,4039,54,5793.6,2278,91288,3268,130944.6,0.0,0.0,2,145,2.9,208.0,69715,60640-2021-7,POINT (-87.662232 41.971888)
60616,12,03/21/2021,03/27/2021,51,3423,94,6284.9,1588,67272,2916,123516.5,0.0,0.1,1,89,1.8,163.4,54464,60616-2021-12,POINT (-87.629531 41.844869)
60645,26,06/21/2020,06/27/2020,20,1138,42,2384.1,997,6778,2089,14200.1,0.0,0.2,1,67,2.1,140.4,47732,60645-2020-26,POINT (-87.695049 42.008927)
60606,43,10/18/2020,10/24/2020,11,95,355,3063.5,157,3249,5063,104772.7,0.1,0.1,0,1,0.0,32.2,3101,60606-2020-43,POINT (-87.63676 41.882634)
60604,14,03/29/2020,04/04/2020,,,,,4,12,512,1534.5,0.0,0.0,0,0,0.0,0.0,782,60604-2020-14,POINT (-87.629029 41.878153)
60603,12,03/15/2020,03/21/2020,,,,,1,1,85,85.2,0.0,0.0,0,0,0.0,0.0,1174,60603-2020-12,POINT (-87.625473 41.880112)
60629,45,11/01/2020,11/07/2020,998,8355,892,7469.8,4079,51916,3647,46415.7,0.3,0.2,8,133,7.2,118.9,111850,60629-2020-45,POINT (-87.711565 41.777061)
60636,38,09/13/2020,09/19/2020,22,1080,68,3353.7,382,9710,1186,30152.5,0.1,0.1,0,56,0.0,173.9,32203,60636-2020-38,POINT (-87.668597 41.77599)
60614,26,06/21/2020,06/27/2020,30,570,42,799.3,1028,6908,1442,9687.6,0.0,0.1,0,65,0.0,91.2,71308,60614-2020-26,POINT (-87.652064 41.922605)
60606,49,11/29/2020,12/05/2020,10,180,322,5804.6,189,4466,6095,144018.1,0.1,0.1,0,1,0.0,32.2,3101,60606-2020-49,POINT (-87.63676 41.882634)
60666,14,03/29/2020,04/04/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2020-14,POINT (-87.896371 41.979511)
